Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse
2024-12-31,,,,,,3.08,0.2459,8.47,ALBRK
2025-03-31,,,,,,39.83,3.2469,0.64,ALBRK
2025-06-30,,,,,,7.09,0.6224,3.35,ALBRK
2025-09-30,,,,,,6.31,0.6025,3.46,ALBRK
2025-12-31,,,,,,13.38,1.5351,1.36,ALBRK
2024-06-30,,,,1.66,,,,,ALCAR
2024-09-30,,,,,,,,,ALCAR
2024-12-31,-90.02,-188.29,15.74,2.28,0.3,29.88,71.0902,2.67,ALCAR
2025-03-31,15.9,151.71,4.56,2.16,-0.73,-8.2,-19.9331,-9.52,ALCAR
2025-06-30,22.59,88.7,2.79,1.9,24.9,-2.82,-5.2811,-35.93,ALCAR
2025-09-30,20.7,81.19,4.8,1.92,8.69,-3.42,-6.679,-28.41,ALCAR
2024-06-30,13.22,15.32,,3.08,-2.19,4.04,2.3533,13.95,ALCTL
2025-03-31,13.96,45.04,,2.66,-3.55,2.42,1.7648,18.6,ALCTL
2025-06-30,13.03,154.02,,2.87,11.48,-6.66,-5.1189,-6.41,ALCTL
2024-06-30,,,,,,,,,ALFAS
2024-09-30,,,,,,,,,ALFAS
2024-12-31,0.85,687.61,9.16,1.36,-0.62,-0.97,-0.1303,-73.08,ALFAS
2025-03-31,10.72,29.42,1.64,1.32,2.98,-0.52,-0.0585,-162.74,ALFAS
2025-06-30,8.14,46.07,2.99,1.13,3.27,1.16,0.1604,59.37,ALFAS
2025-09-30,5.43,67.71,2.84,1.12,2.59,-1.0,-0.1444,-65.96,ALFAS
2025-12-31,17.27,32.62,4.43,1.2,3.96,0.07,0.0094,1011.58,ALFAS
2024-06-30,93.06,74.16,4.84,4.28,-1.8,-0.62,-0.0409,-29.67,ALGYO
2024-09-30,97.99,12.19,1.14,4.29,0.66,2.84,0.2069,5.86,ALGYO
2024-12-31,54.65,194.17,802.26,3.34,0.4,1.46,0.0957,12.67,ALGYO
2025-03-31,81.36,57.8,92.97,2.11,3.79,0.22,0.0165,73.48,ALGYO
2025-06-30,64.83,64.97,63.01,0.61,4.78,0.01,0.0005,2369.85,ALGYO
2025-09-30,,,,,,,,,ALGYO
2024-06-30,,,,,,,,,ALKIM
2024-09-30,13.83,66.64,0.94,2.57,-0.37,-0.65,-0.0739,-56.19,ALKIM
2024-12-31,-3.75,-108.2,0.66,2.52,-6.49,-1.79,-0.2131,-19.48,ALKIM
2025-03-31,16.73,60.95,,2.2,-0.87,-2.88,-0.3666,-11.32,ALKIM
2025-06-30,9.2,94.37,0.3,1.96,3.04,0.9,0.1217,34.1,ALKIM
2025-09-30,9.97,97.56,0.6,1.96,-0.03,-0.94,-0.1361,-30.49,ALKIM
2024-06-30,,,,,,,,,ALKLC
2024-09-30,28.74,60.7,11.26,1.28,-4.35,-9.55,-1.4047,-47.56,ALKLC
2024-12-31,29.29,63.69,9.66,1.21,1.15,3.89,0.6509,102.64,ALKLC
2025-03-31,31.58,40.89,15.42,1.12,1.63,0.19,0.0338,1977.74,ALKLC
2025-06-30,37.35,40.1,16.98,1.06,1.49,3.2,0.6114,109.27,ALKLC
2025-09-30,35.73,39.36,20.65,1.02,1.85,-0.0,-0.0003,-254549.78,ALKLC
2024-06-30,,,,,,,,,ALVES
2024-09-30,,,,,,,,,ALVES
2024-12-31,22.7,14.67,11.13,1.27,1.19,-1.28,-0.016,-46.88,ALVES
2025-03-31,13.4,31.18,6.39,1.13,4.31,0.53,0.0073,102.33,ALVES
2025-06-30,22.7,11.93,14.38,1.14,1.16,1.77,0.0264,28.39,ALVES
2025-09-30,18.18,17.01,13.7,1.2,1.46,0.3,0.0049,153.57,ALVES
2025-12-31,33.06,7.54,23.05,1.16,0.99,1.36,0.0232,32.39,ALVES
2024-06-30,,,,,,,,,ANELE
2024-09-30,2.6,2326.8,6.3,1.06,-10.09,-11.66,-1.0943,-3.24,ANELE
2024-12-31,43.27,255.04,5.41,1.02,5.8,0.06,0.0058,614.48,ANELE
2025-03-31,4.61,93.73,1.72,1.0,2.05,7.07,0.7027,5.05,ANELE
2025-06-30,-3.35,-50.91,8.84,0.99,5.4,-2.54,-0.2543,-13.94,ANELE
2025-09-30,2.08,34.83,3.84,0.98,3.5,2.58,0.2753,12.88,ANELE
2024-06-30,,,,,,,,,ANGEN
2024-09-30,,,,,,,,,ANGEN
2024-12-31,56.8,83.98,1.5,8.66,-1.14,-2.0,-0.1409,-18.33,ANGEN
2025-03-31,65.74,101.1,1.07,5.96,0.43,-6.53,-0.4788,-5.39,ANGEN
2025-06-30,61.99,108.28,1.26,4.41,0.43,-5.51,-0.4107,-6.29,ANGEN
2025-09-30,69.37,97.9,1.36,3.71,-0.86,-4.62,-0.3521,-7.33,ANGEN
2025-12-31,58.65,132.83,8.04,2.82,1.51,-1.04,-0.0822,-31.4,ANGEN
2024-06-30,,,,,,,,,ANHYT
2024-09-30,,,,,,9.01,1.8063,16.61,ANHYT
2024-12-31,,,,,,12.98,3.0408,9.87,ANHYT
2025-03-31,,,,,,13.16,2.5747,11.65,ANHYT
2025-06-30,,,,,,14.01,3.2948,9.11,ANHYT
2025-09-30,,,,,,,,,ANHYT
2025-12-31,,,,,,14.06,4.4653,6.72,ANHYT
2024-06-30,,,0.46,,,15.82,1.4076,4.93,ANSGR
2024-09-30,,,,,,12.78,1.2984,5.35,ANSGR
2024-12-31,,,1.77,,,13.74,1.63,4.26,ANSGR
2025-03-31,,,6.62,,,8.51,0.9887,7.02,ANSGR
2025-06-30,,,10.46,,,12.14,1.6214,4.28,ANSGR
2024-06-30,,,,,,,,,ARCLK
2024-09-30,26.4,98.23,6.16,1.13,3.29,-7.43,-8.5218,-3.37,ARCLK
2024-12-31,26.99,111.01,4.79,1.04,1.75,7.61,10.2035,2.81,ARCLK
2025-03-31,28.66,99.27,4.13,1.01,3.47,-2.3,-2.4995,-11.48,ARCLK
2025-06-30,28.4,96.26,4.89,0.96,3.89,-3.39,-3.5602,-8.06,ARCLK
2025-12-31,28.97,97.9,6.97,0.97,2.17,-2.73,-2.926,-9.81,ARCLK
2024-06-30,,,,,,,,,ARENA
2024-12-31,5.95,7.34,2.94,1.02,3.08,1.52,0.1704,37.44,ARENA
2025-03-31,5.29,61.34,2.75,1.24,4.73,67.34,21.3403,0.3,ARENA
2025-06-30,5.5,130.72,3.76,1.17,-13.66,-12.93,-3.6646,-1.74,ARENA
2025-09-30,5.62,25.55,4.26,1.15,14.43,-13.97,-3.4518,-1.85,ARENA
2025-12-31,4.87,110.84,3.68,1.14,10.08,-9.5,-2.1313,-2.99,ARENA
2024-06-30,,,,,,,,,ARSAN
2024-09-30,,,,,,,,,ARSAN
2024-12-31,110.68,7.07,5.2,16.76,-12.0,-1.89,-0.0724,-14.25,ARSAN
2025-03-31,-18.8,-1267.29,12.99,23.18,-2.21,2.48,0.1061,9.73,ARSAN
2025-06-30,7.6,1972.79,17.48,18.02,-18.77,-0.74,-0.038,-27.19,ARSAN
2025-09-30,37.19,371.48,1.61,5.3,2.28,-3.07,-0.1651,-6.25,ARSAN
2025-12-31,22.63,710.78,10.26,21.34,3.0,-2.24,-0.135,-7.65,ARSAN
2024-06-30,,,,,,,,,ARTMS
2024-09-30,,,,,,,,,ARTMS
2024-12-31,42.4,6.46,0.18,5.98,-0.04,6.76,1.8842,4.96,ARTMS
2025-03-31,30.56,52.72,7.76,5.21,-0.08,3.92,1.0474,8.93,ARTMS
2025-06-30,33.66,47.11,16.81,4.48,-0.18,3.03,0.8849,10.57,ARTMS
2025-09-30,28.77,112.54,0.42,4.22,6.14,0.82,0.2585,36.17,ARTMS
2025-12-31,71.26,15.88,80.53,3.75,0.13,3.57,1.1197,8.35,ARTMS
2024-06-30,,,,,,,,,ARZUM
2024-09-30,30.49,68.9,19.45,1.01,3.41,-58.53,-0.325,-2.05,ARZUM
2024-12-31,26.22,79.11,13.66,0.97,2.7,-32.88,-0.1558,-4.29,ARZUM
2025-03-31,32.93,70.4,16.51,0.93,1.81,-34.58,-0.1274,-5.24,ARZUM
2025-06-30,32.13,82.12,21.85,0.89,2.42,-127.97,-0.219,-3.05,ARZUM
2025-09-30,24.14,158.68,19.28,0.84,-2.11,-161.04,-0.4169,-1.6,ARZUM
2024-06-30,,,,,,,,,ASELS
2024-09-30,29.08,35.26,4.42,1.52,3.05,2.15,0.5858,145.64,ASELS
2024-12-31,32.59,27.4,2.68,1.52,0.33,6.53,2.0081,42.48,ASELS
2025-03-31,29.93,38.56,2.47,1.5,-12.49,1.45,0.4989,171.01,ASELS
2025-06-30,33.69,25.94,3.04,1.34,2.84,2.36,0.8757,97.42,ASELS
2025-12-31,32.75,26.87,3.65,1.39,0.12,7.31,4.0129,21.26,ASELS
2024-06-30,-379.74,-70.57,4.88,580.65,0.43,-4.44,-1.203,-2.33,ASGYO
2024-09-30,-141.58,-133.98,,517.21,9.02,-3.24,-0.9186,-3.05,ASGYO
2024-12-31,83.86,166.54,,570.62,-10.62,1.54,0.4549,6.16,ASGYO
2025-03-31,83.17,128.5,1.18,391.79,0.45,-3.55,-0.8492,-3.3,ASGYO
2025-06-30,38.94,365.7,,520.31,14.09,-1.1,-0.2754,-10.17,ASGYO
2024-06-30,,,,,,,,,ATAGY
2024-09-30,,,,,,,,,ATAGY
2024-12-31,74.16,75.67,2.56,24.61,-0.72,5.21,0.8071,4.01,ATAGY
2025-03-31,70.41,83.61,3.02,20.95,-15.13,0.03,0.0043,745.45,ATAGY
2025-06-30,65.03,83.74,2.69,10.15,-1.65,0.68,0.0951,34.05,ATAGY
2025-09-30,57.74,99.24,1.97,12.01,12.02,-0.52,-0.0779,-41.55,ATAGY
2025-12-31,59.1,90.44,3.26,9.01,-0.3,-1.07,-0.1638,-19.77,ATAGY
2024-06-30,17.78,67.2,1.03,3.39,-0.79,1.34,0.3674,35.82,ATAKP
2024-09-30,13.89,0.9,1.59,3.02,-0.49,-1.25,-0.3707,-35.51,ATAKP
2024-12-31,16.96,30.32,0.45,3.08,0.13,3.75,1.2542,10.5,ATAKP
