Brut_Kar_Marji_%,BKM_Gecti,FaalGid_BrutKar_%,FGBK_Gecti,FinansGid_Gelir_%,FGG_Gecti,Cari_Oran,CO_Gecti,NetBorc_FAVOK,NB_Gecti,ROE_%,ROE_Gecti,Toplam_Puan,Maks_Puan,Hisse,Borsa,FK_Orani,FK_Gecti,EPS_Surekli_Artis,Icsel_Deger
75.48,EVET,90.88,HAYIR,0.36,EVET,1.09,HAYIR,0.04,EVET,27.68,EVET,4,8,MTEX,NASDAQ,,,,
79.56,EVET,62.04,HAYIR,6.66,EVET,1.74,EVET,-0.73,EVET,3.9,HAYIR,4,8,IDCC,NASDAQ,,,,
44.71,EVET,3707.53,HAYIR,6.25,EVET,1.7,EVET,0.21,EVET,-252.16,HAYIR,4,8,SINT,NASDAQ,,,,
43.7,EVET,216.0,HAYIR,0.47,EVET,1.92,EVET,0.16,EVET,-24.85,HAYIR,4,8,LFWD,NASDAQ,,,,
11.14,HAYIR,143.66,HAYIR,1.35,EVET,1.59,EVET,-0.34,EVET,47.76,EVET,4,8,TOIIW,NASDAQ,,,,
72.5,EVET,223.92,HAYIR,1.59,EVET,1.15,HAYIR,-0.06,EVET,257.61,EVET,4,8,BFRI,NASDAQ,,,,
48.27,EVET,265.63,HAYIR,11.29,EVET,1.97,EVET,0.9,EVET,-7.89,HAYIR,4,8,YJ,NASDAQ,,,,
47.37,EVET,68.75,HAYIR,1.75,EVET,1.68,EVET,1.53,EVET,0.84,HAYIR,4,8,CELH,NASDAQ,,,,
48.36,EVET,285.37,HAYIR,13.45,EVET,0.79,HAYIR,0.01,EVET,362.04,EVET,4,8,DAIC,NASDAQ,,,,
64.63,EVET,166.46,HAYIR,0.42,EVET,4.84,HAYIR,-2.74,EVET,129.39,EVET,4,8,GH,NASDAQ,,,,
42.37,EVET,158.33,HAYIR,0.34,EVET,1.69,EVET,-1.08,EVET,-12.59,HAYIR,4,8,NXGL,NASDAQ,,,,
45.98,EVET,82.71,HAYIR,0.27,EVET,1.03,HAYIR,0.36,EVET,21.6,EVET,4,8,DKNG,NASDAQ,,,,
56.1,EVET,118.69,HAYIR,1.36,EVET,1.76,EVET,0.31,EVET,-10.08,HAYIR,4,8,ATER,NASDAQ,,,,
-2.09,HAYIR,-5237.5,EVET,10.25,EVET,1.54,EVET,-0.52,EVET,-14.18,HAYIR,4,8,NCTY,NASDAQ,,,,
68.13,EVET,322.33,HAYIR,4.66,EVET,1.64,EVET,-0.69,EVET,-3.31,HAYIR,4,8,DH,NASDAQ,,,,
40.65,EVET,101.87,HAYIR,0.0,EVET,1.6,EVET,0.4,EVET,-0.09,HAYIR,4,8,BLNK,NASDAQ,,,,
43.82,EVET,76.07,HAYIR,3.09,EVET,1.75,EVET,-2.4,EVET,2.54,HAYIR,4,8,GRABW,NASDAQ,,,,
6.29,HAYIR,27.49,EVET,10.02,EVET,1.69,EVET,-105.27,EVET,2.77,HAYIR,4,8,PANL,NASDAQ,,,,
