Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse,BKM_Filtre,FGBK_Filtre,FGG_Filtre,FK_Filtre,FS_Filtre,CO_Filtre,NB_Filtre,ROE_Filtre,EPS_Artis_Filtre,Icsel_Deger,Toplam_Gecilen
,,,,,,6.49,0.2184,9.39,AKGRT,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,21.59,1
,,,,,,13.58,0.5321,3.85,AKGRT,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,52.6,1
,,,,,,11.49,0.5118,4.01,AKGRT,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,50.6,1
,,,,,,5.9,0.2798,7.33,AKGRT,GECMEDI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,27.66,1
,,,,,,,,,AKSA,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,AKSA,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,13.38,44.21,4.53,1.27,0.92,0.16,0.0097,287.98,AKSA,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,0.96,2
,13.34,58.46,4.73,1.21,0.72,0.83,0.0571,48.68,AKSA,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,5.64,2
,15.19,55.35,6.36,1.17,1.7,-0.08,-0.0058,-477.7,AKSA,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,9.45,106.97,8.89,0.85,1.39,7.81,0.6057,4.59,AKSA,GECMEDI,GECMEDI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,59.88,3
,21.96,24.97,9.78,0.85,1.35,4.38,0.3693,7.53,AKSA,GECMEDI,GECTI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,36.51,4
,,,,,,,,,AKSGY,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,AKSGY,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,77.36,11.51,12.89,0.69,0.07,7.19,0.9513,2.27,AKSGY,GECTI,GECTI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,94.04,5
,72.92,16.22,9.41,0.87,0.5,0.49,0.0712,30.26,AKSGY,GECTI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,7.04,4
,75.96,11.08,6.97,0.95,0.38,1.67,0.2613,8.25,AKSGY,GECTI,GECTI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,25.83,5
,75.84,10.67,24.74,1.89,0.06,5.58,0.9455,2.28,AKSGY,GECTI,GECTI,GECMEDI,GECTI,VERI_YOK,GECTI,GECTI,GECMEDI,GECMEDI,93.47,5
,76.61,11.41,4.36,2.15,0.0,4.33,0.7995,2.7,AKSGY,GECTI,GECTI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,79.04,5
,56.62,26.18,6.47,1.12,0.41,1.53,0.1237,58.1,AKSUE,GECTI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,12.23,4
,10.88,167.4,11.53,1.08,-3.24,-1.69,-0.1477,-48.64,AKSUE,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
